localtime,TL1,TL3,TL5,TL6,TL8,Occupancy,temperature,cloudCover
2016/12/18 00:00,23.6248,70.0886,21.4993,40.1774,100,0,14.49,1
2016/12/18 00:10,23.6248,69.8409,21.6992,40.1774,100,0,14.82,1
2016/12/18 00:20,23.6248,68.5589,20.956,40.1774,100,0,15.15,1
2016/12/18 00:30,23.6248,68.4578,20.6753,40.1774,100,0,15.48,1
2016/12/18 00:40,23.6248,70.0218,21.6155,40.1774,100,0,15.81,1
2016/12/18 00:50,23.6248,70.0016,21.7883,40.1774,100,0,16.14,1
2016/12/18 01:00,23.6248,69.264,21.4713,40.1774,100,0,16.47,1
2016/12/18 01:10,23.6248,68.124,20.6929,40.1774,100,0,16.7,0.98
2016/12/18 01:20,23.6248,68.6476,20.8162,40.1774,100,0,16.93,0.97
2016/12/18 01:30,23.6248,69.4479,21.4133,40.1774,100,0,17.15,0.95
2016/12/18 01:40,23.6248,69.919,21.4831,40.1774,100,0,17.38,0.94
2016/12/18 01:50,23.6248,68.8982,21.1769,40.1774,100,0,17.61,0.92
2016/12/18 02:00,23.6248,68.12,20.2722,40.1774,100,0,17.83,0.91
2016/12/18 02:10,23.6248,69.177,20.983,40.1774,100,0,18.02,0.91
2016/12/18 02:20,23.6248,70.285,21.8128,40.1774,100,0,18.21,0.92
2016/12/18 02:30,23.6248,69.8198,21.6564,40.1774,100,0,18.4,0.92
2016/12/18 02:40,23.6248,68.4682,20.8288,40.1774,100,0,18.59,0.93
2016/12/18 02:50,23.6248,68.1712,20.4271,40.1774,100,0,18.78,0.94
2016/12/18 03:00,23.8171,69.0962,21.0381,40.1774,100,0,18.96,0.94
2016/12/18 03:10,23.8171,69.9204,21.4448,40.1774,100,0,19.05,0.95
2016/12/18 03:20,23.8171,69.6035,21.6602,40.1774,100,0,19.13,0.96
2016/12/18 03:30,23.8171,68.0809,20.4603,40.1774,100,0,19.21,0.97
2016/12/18 03:40,23.8171,67.6809,20.3726,40.1774,100,0,19.29,0.98
2016/12/18 03:50,23.6248,69.1888,21.299,40.1774,100,0,19.38,0.99
2016/12/18 04:00,23.6248,70.2235,21.6263,40.1774,100,0,19.46,1
2016/12/18 04:10,23.6248,69.8589,21.6046,40.1774,100,0,19.78,1
2016/12/18 04:20,23.6248,68.9726,21.1112,40.1774,100,0,20.09,1
2016/12/18 04:30,23.6248,68.7534,20.8113,40.1774,100,0,20.41,1
2016/12/18 04:40,23.6248,68.0638,20.4855,40.1774,100,0,20.73,1
2016/12/18 04:50,23.6248,68.6351,20.803,40.1774,100,0,21.05,1
2016/12/18 05:00,23.8171,69.9345,21.4674,40.1774,100,0,21.36,1
2016/12/18 05:10,23.8171,70.4727,21.8629,40.1774,100,0,21.54,0.99
2016/12/18 05:20,23.8171,70.2902,21.9658,40.1774,100,0,21.73,0.98
2016/12/18 05:30,23.8411,69.0563,21.0824,40.1774,100,0,21.91,0.97
2016/12/18 05:40,23.6488,68.5563,20.8511,40.1774,99.9997,0,22.09,0.96
2016/12/18 05:50,23.8411,68.2585,20.4537,40.1774,100,0,22.27,0.95
